1	Uni-Hauptgebäude	11.5895664783185	50.929759023589	28	Fürstengraben 1	True
2	IBAUPRO / WE Catering	11.5914786353197	50.9335050038553	Saal	Am Anger 32	True
3	Nordschule	11.5890810313552	50.938851430074	00.03	Dornburger Str. 31	True
4	IBAUPRO / WE Catering	11.5914786353197	50.9335050038553	Saal	Am Anger 32	True
5	Volksbad-Anbau	11.5863360592072	50.9251193460879	Seminarraum V	Knebelstr. 10	True
6	Seniorenwohnen Am Villengang	11.5819342010621	50.9236044998426	Andachtsraum	Sellierstr. 8	True
7	Technologie- und Innovationspark Jena	11.570227140252	50.9108974078995	Foyer	Wildenbruchstr. 15	False
8	FFW Lichtenhain	11.5622000180599	50.9157011875085	Schulungsraum 1. Etage	Am Hirschberge 9	False
9	Jenaplan-Schule	11.5691006390258	50.9212139538596	01.00.15	Tatzendpromenade 9	True
10	Jenaplan-Schule	11.5691006390258	50.9212139538596	01.00.14	Tatzendpromenade 9	True
11	Jenaplan-Schule	11.5691006390258	50.9212139538596	01.00.13	Tatzendpromenade 9	True
12	Aktion Wandlungswelten	11.5741938145144	50.9261919993071	EG Zimmer 2	Forstweg 41	False
13	Aktion Wandlungswelten	11.5741938145144	50.9261919993071	EG Zimmer 3	Forstweg 41	False
14	IGS Grete Unrein	50.9308942005767	11.5793085646785	00-14	August-Bebel-Str. 1	True
15	IGS Grete Unrein	50.9308942005767	11.5793085646785	00-15	August-Bebel-Str. 1	True
16	KITA Leutragarten	11.5733535174678	50.9321125821802	Kinderrestaurant	August-Bebel-Str. 24	True
17	Ortsteilbüro Jena West	11.5669199384888	50.9341848630234	Versammlungsraum	An der Weidigsmühle 10	True
18	FSU Jena	11.582415084262	50.9340720012065	Seminarraum 5	Helmholtzweg 4	True
19	Nordschule	11.5890810313552	50.938851430074	00.04	Dornburger Str. 31	True
20	Nordschule	11.5890810313552	50.938851430074	00.05	Dornburger Str. 31	True
21	Montessorischule Jena	11.5986251833147	50.9445126107207	Aula Raum 02-00-01	Friedrich-Wolf-Str. 2	True
22	Carl-Zeiss-Gymnasium	11.6093954255246	50.952155214627	D 112	Erich-Kuithan-Str. 7	True
23	Christliches Gymnasium	11.6029790452535	50.9489403848825	EG 012	Altenburger Str. 10	True
24	Begegnungszentrum Jena e. V.	11.59774835757	50.9508332262156	Seniorenbegegnungsstätte	Closewitzer Str. 2	False
25	Begegnungszentrum Jena e. V.	11.59774835757	50.9508332262156	Bibliothek	Closewitzer Str. 2	False
26	Montessorischule Jena	11.5986251833147	50.9445126107207	kleiner Speiseraum 02-00-16	Friedrich-Wolf-Str. 2	True
27	Carl-Zeiss-Gymnasium	11.6093954255246	50.952155214627	D 114	Erich-Kuithan-Str. 7	True
28	Christliches Gymnasium	11.6029790452535	50.9489403848825	EG 004	Altenburger Str. 10	True
29	K u. B Verkehrs-Bildungsgesellschaft	11.6166431931996	50.9576404668329	Raum 1	Naumburger Str. 141	False
30	K u. B Verkehrs-Bildungsgesellschaft	11.6166431931996	50.9576404668329	Raum 2	Naumburger Str. 141	False
31	Carl-Zeiss-Gymnasium	11.6093954255246	50.952155214627	E 103	Erich-Kuithan-Str. 7	True
32	Altes Gut Burgau	11.5922041109163	50.8960762564281	Versammlungsraum 1. Etage	Grenzstr. 1	False
33	Grundschule Heinrich Heine	11.5977383757967	50.9342237632047	00-23	Dammstr. 37	True
34	Grundschule Heinrich Heine	11.5977383757967	50.9342237632047	00-28	Dammstr. 37	True
35	Angergymnasium	50.9330661938851	11.6059588459759	Altbau Raum 00-08	Karl-Liebknecht-Str. 87	False
36	Angergymnasium	50.9330661938851	11.6059588459759	Altbau Raum 00-10	Karl-Liebknecht-Str. 87	False
37	Gaststätte Schlegelsberg	11.6162075786418	50.9305694224685	Saal	Oskar-Zachau-Str. 6	True
38	Gaststätte Zu den Fuchslöchern	11.6253913670654	50.9309557052791	Vereinsraum	Fuchslöcherstr. 9	True
39	Vereinshaus Ziegenhain	11.6258814567685	50.9193593708057	Jugendzimmer	Edelhofgasse 22	True
40	Institut für Geowissenschaften	11.5974678860298	50.9243532407779	Hörsaal 114	Burgweg 11	False
41	Talschule	11.6046082623057	50.921322786245	01.00-04	Ziegenhainer Str. 52	False
42	Talschule	11.6046082623057	50.921322786245	01.00-05	Ziegenhainer Str. 52	False
43	KGS Adolf Reichwein	11.5918987179834	50.9233004171027	00.19	Wöllnitzer Str. 1	False
44	KGS Adolf Reichwein	11.5918987179834	50.9233004171027	00.18	Wöllnitzer Str. 1	False
45	Kita Ammerbach	11.5596297949111	50.9039955894851	Mehrzweckraum	Hahnengrundweg 7	False
46	Kita Schwabenhaus	11.5783144717721	50.9033861912739	Speiseraum UG	Distelweg 1a	True
47	Ernst-Abbe-Gymnasium	11.5734356379795	50.9048061773316	Aula	Ammerbacher Str. 21	True
48	Gemeinschaftsschule Galileo	11.5811885001394	50.8929842023431	Aula	Oßmaritzer Str. 12	True
49	Gemeinschaftsschule Galileo	11.5811885001394	50.8929842023431	Aula	Oßmaritzer Str. 12	True
50	Freie Waldorfschule Jena	11.5902956567392	50.8784160391978	Speisesaal	Alte Hauptstr. 15	True
51	Saaletalschule	11.6056536999706	50.8842251369975	00.25	Karl-Marx-Allee 11	True
52	Saaletalschule	11.6056536999706	50.8842251369975	00.24	Karl-Marx-Allee 11	True
53	Saaletalschule	11.6056536999706	50.8842251369975	00.22	Karl-Marx-Allee 11	True
54	Schulgebäude	11.6142368155423	50.8817589354167	Raum 7	Emil-Wölk-Str. 11	False
55	Saaletalschule	11.6056536999706	50.8842251369975	00.21	Karl-Marx-Allee 11	True
